country,GWn,year,gdpPercap
Cape Verde,402,1983,989.566918175199
Cape Verde,402,1984,1011.1347201415401
Cape Verde,402,1987,1150.8246211535532
Cape Verde,402,1988,1166.0975355340206
Central African Republic,482,1955,863.6607433040087
Chad,483,1979,362.47828169380796
Chad,483,1984,385.4592895688786
Chile,155,1985,5029.554166759613
China,710,1996,2891.9888300275143
Colombia,100,1901,679.1283464054015
Colombia,100,1912,825.6536490357344
Colombia,100,1949,2107.3371719918055
Colombia,100,1965,2688.8088307655594
Colombia,100,1999,5269.378486338404
Comoros,581,1958,648.8811908675617
Comoros,581,1977,624.4806596403776
Congo,484,1975,2191.1143921324583
Congo,484,1995,2080.7164078341284
Congo,484,1997,2039.630054783835
"Congo, Democratic Republic of (Zaire)",490,1968,745.9873391897911
"Congo, Democratic Republic of (Zaire)",490,1976,697.3443239265779
"Congo, Democratic Republic of (Zaire)",490,2005,227.96194024093853
Costa Rica,94,1931,1574.5098039215686
Costa Rica,94,1939,1867.2131147540986
Costa Rica,94,1949,2123.3766233766237
Croatia,344,1953,1843.3360942783677
Croatia,344,1994,5667.41149074064
Croatia,344,1995,6027.076893193648
Cuba,40,1959,2066.836055544172
Cuba,40,1975,2404.2865535839646
Czechoslovakia,315,1924,2352.7875716463477
Czechoslovakia,315,1930,2925.8101833525498
Denmark,390,1904,3325.580007459903
Denmark,390,1950,6943.104659330368
Denmark,390,1952,6955.23765574527
Denmark,390,1958,8095.222908211765
Denmark,390,1966,11159.770713913496
Denmark,390,1978,14825.693192355306
Denmark,390,2005,24016.885909203032
Djibouti,522,1953,1574.8937415528685
Djibouti,522,1960,1771.4852327884937
Djibouti,522,1963,1773.9358115937082
Djibouti,522,1969,1742.0879205103874
Dominican Republic,42,1985,2291.8952813920678
Ecuador,130,1910,746.0762739281228
Ecuador,130,1924,946.1177859198308
Ecuador,130,1938,1053.9919040858335
Ecuador,130,1957,1940.6650204073721
Ecuador,130,1981,4154.724806628743
Ecuador,130,1983,3870.7121964354956
Egypt,651,1988,2510.2896154684126
Egypt,651,1991,2531.7721884236
El Salvador,92,1953,1615.9075426486208
El Salvador,92,1961,1768.5878090900835
El Salvador,92,2000,2714.005876591577
El Salvador,92,2004,2732.9390354868065
Equatorial Guinea,411,1953,586.6249511145875
Equatorial Guinea,411,1954,610.1938262742283
Equatorial Guinea,411,1959,687.0333898227453
Equatorial Guinea,411,1961,806.3605721934621
Equatorial Guinea,411,1989,1550.4219362555095
Estonia,366,1973,8657.278379627398
Ethiopia,530,1955,422.1052568690252
Ethiopia,530,1979,627.1583915675698
Finland,375,1915,1881.6775867661368
Finland,375,1923,2186.799259944496
Finland,375,1964,7306.733759198548
Finland,375,1976,11358.403813728612
France,220,1939,4793.310501193317
France,220,1946,3855.1917349218165
France,220,1964,8819.336669570679
France,220,1972,12263.545959844218
France,220,2008,22057.35045104924
Gabon,481,2001,3819.8674077377527
Gambia,420,1975,1049.6059767937384
Gambia,420,1977,1152.1360512402848
Gambia,420,1982,1088.398609446722
Gambia,420,1984,871.0802278229744
German Federal Republic,260,1983,14328.856704328653
German Federal Republic,260,1986,15469.014161441866
German Federal Republic,260,1996,17420.220809056824
Germany (Prussia),255,1905,3104.0454948502834
Germany (Prussia),255,1912,3523.6936872643782
Germany (Prussia),255,1935,4119.812773848156
Germany (Prussia),255,1941,5711.149706736518
Ghana,452,2004,1504.19716925554
Greece,350,1912,1966.970976509198
Greece,350,1956,2705.885297408932
Greece,350,2006,15392.443530444252
Guatemala,90,1923,1405.3398058252426
Guatemala,90,1934,1511.8556701030927
Guatemala,90,1967,2581.3435855928774
Guatemala,90,1980,4004.812030075188
Guinea,438,1985,519.1510039708076
Guinea-Bissau,404,1959,478.12546666923384
Guinea-Bissau,404,1960,500.76800324755
Guinea-Bissau,404,1968,794.1474380284536
Guinea-Bissau,404,1977,823.4405302232369
Guinea-Bissau,404,2001,666.6896295700963
Guinea-Bissau,404,2002,619.599135861738
Haiti,41,1971,969.4656488549617
Haiti,41,1979,1196.4460066393283
Honduras,91,1944,1005.6451612903226
Honduras,91,1989,1910.8225517451779
Hungary,310,1913,2097.8745045771807
Hungary,310,1939,2837.7759939838597
Hungary,310,1952,2761.989524511008
Hungary,310,1959,3484.1141716753677
Hungary,310,2000,6771.783594466776
India,750,1943,698.174108256423
India,750,1961,758.4324324324324
India,750,1992,1350.3218538931526
Indonesia,850,1920,899.1739103221521
Indonesia,850,1928,1075.6329912811887
Indonesia,850,1958,946.6745134527939
Indonesia,850,1999,3126.60595287604
Iran (Persia),630,1955,1504.362630255919
Iran (Persia),630,1960,2156.4823650124044
Iran (Persia),630,1980,3973.5157462765997
Iran (Persia),630,2007,6053.746138153474
Iraq,645,1971,3566.681436127771
Iraq,645,2010,1609.7479655638454
Ireland,205,1937,2956.5807327001357
Ireland,205,1981,8716.094557704593
Ireland,205,2004,23724.8897623168
Ireland,205,2010,22013.138881918785
Israel,666,1950,2817.303102928149
Italy/Sardinia,325,1906,2074.706561460932
Jamaica,51,1957,2468.2591900149177
Jamaica,51,1992,3830.8782727135144
Japan,740,1926,1871.5777814514795
Japan,740,1979,13163.097132670082
Jordan,663,1952,1725.8966073800366
Jordan,663,1971,2365.6737362889307
Jordan,663,1991,3462.993930811806
Jordan,663,1993,3772.271309379694
Jordan,663,2002,4459.967724143567
Kenya,501,2008,1112.5768035101871
"Korea, People's Republic of",731,1953,965.9816642973619
"Korea, People's Republic of",731,2002,1165.7075103066784
"Korea, Republic of",732,1914,503.65288505384274
"Korea, Republic of",732,1915,585.0946968138305
Kosovo,347,1968,1190.9568543447008
Kosovo,347,1977,1688.3722895452713
Kosovo,347,1985,1741.8259233393449
Kuwait,690,1952,30023.395647321428
Kuwait,690,1984,9023.90123179095
Kuwait,690,1998,9815.456957610253
Kyrgyz Republic,703,2008,2965.256004324658
Laos,812,2004,1372.9135413835957
Laos,812,2007,1594.1433898017144
Laos,812,2008,1669.1790711960434
Lebanon,660,1961,2481.559896781194
Lebanon,660,1972,3176.427936975066
Lebanon,660,1980,3523.754706216199
Lesotho,570,1957,421.98982526033245
Liberia,450,1957,1183.4622675341975
Liberia,450,1993,1193.0763377883559
Liberia,450,2000,989.6562920358087
Libya,620,1970,9114.819109206757
Libya,620,1971,8251.736200533267
Libya,620,1988,3303.338295879145
Libya,620,1997,2466.7676540600505
Libya,620,2007,2960.618620705877
Lithuania,368,1973,7592.855573676088
Lithuania,368,1995,5129.824313067907
Lithuania,368,1998,6262.227648538582
Lithuania,368,2006,11145.374535334127
Macedonia (Former Yugoslav Republic of),343,1954,1522.2821149047963
Macedonia (Former Yugoslav Republic of),343,1971,4578.60800195907
Macedonia (Former Yugoslav Republic of),343,1994,4481.874239712633
Macedonia (Former Yugoslav Republic of),343,2003,4897.312805965512
Madagascar (Malagasy),580,1976,1063.148374403849
Madagascar (Malagasy),580,1985,813.2135915774201
Malawi,553,1993,542.4712358086641
Malawi,553,2004,593.5130786670243
Malaysia,820,1931,1548.4156880124087
Malaysia,820,1981,3823.8263234698416
Malaysia,820,2009,9571.149882025158
Mali,432,1954,487.5261019947689
Mali,432,1962,518.9225295604425
Mali,432,2001,895.1493439748475
Mauritania,435,2008,1299.210162710606
Mauritius,590,1988,6550.011470313869
Mexico,70,1900,1318.647787463026
Mexico,70,1901,1415.4982387966725
Mexico,70,1911,1706.7378252168112
Mexico,70,1919,1809.7250167672703
Mexico,70,1927,1874.7860112496944
Mexico,70,1941,1949.463135289907
Mexico,70,1942,2032.0453278840796
Mexico,70,1965,3701.9742792136503
Mexico,70,1969,4185.484560170772
Mexico,70,1982,6513.722942412899
Moldova,359,2006,3550.9655721474287
Mongolia,712,1953,475.5888945691927
Mongolia,712,1972,835.289663006437
Mongolia,712,1987,1373.6066056185869
Montenegro,341,1953,984.8522970822429
Montenegro,341,1974,3384.195271095275
Morocco,600,1981,2169.380256321846
Morocco,600,1992,2565.825302890569
Mozambique,541,1969,1693.027690707427
Mozambique,541,1993,1144.481711596569
Mozambique,541,1994,1128.8035823616462
Mozambique,541,2010,2613.0266762058636
Myanmar (Burma),775,1962,606.3137175136502
Myanmar (Burma),775,2003,1825.409518858178
Namibia,565,1953,2222.6735566866605
Namibia,565,1981,3825.27291281544
Namibia,565,1987,3339.223095610522
Nepal,790,1961,612.9990788308168
Nepal,790,1971,632.9255558440593
Netherlands,210,1925,5030.976785229433
Netherlands,210,1947,5048.078920041537
Netherlands,210,1976,13884.909802988588
Netherlands,210,1981,14525.079901101
Netherlands,210,1996,19247.868211938017
New Zealand,920,1908,4834.91265060241
New Zealand,920,1911,5493.846298031865
New Zealand,920,1953,7855.851666828661
New Zealand,920,1959,9630.12660856017
New Zealand,920,1989,13869.15334517466
New Zealand,920,1998,15477.080328421878
Nicaragua,93,1957,2110.6424065444635
Nicaragua,93,2008,1673.8679571379191
Niger,436,1964,888.1067742038389
Nigeria,475,1966,886.887060479111
Nigeria,475,1978,1271.9706719399767
Norway,385,1948,5143.894237038831
Norway,385,1951,5670.275907857195
Norway,385,1972,10921.91584989423
Norway,385,1984,16512.699864445018
Norway,385,1987,18164.348236951617
Norway,385,1991,18951.362474863494
Norway,385,2007,28555.9548221343
Oman,698,1993,7046.811418007173
Oman,698,2009,9541.80797445503
Pakistan,770,1966,811.5509137818735
Pakistan,770,1995,1780.243829625216
Pakistan,770,1997,1830.9712068676004
Paraguay,150,1966,1712.062885438535
Paraguay,150,1994,3270.298695835086
Paraguay,150,2006,3060.070671378092
Peru,135,1979,4180.797579682561
Peru,135,2000,3736.817804830946
Peru,135,2002,3831.4030560691567
Philippines,840,1904,679.0232793522267
Philippines,840,1922,1357.2646504531992
Philippines,840,1926,1363.6288042574422
Philippines,840,1946,646.1251664447403
Philippines,840,1955,1357.509279395171
Philippines,840,1960,1476.185286806495
Philippines,840,1972,1853.3595759192115
Philippines,840,1986,1983.0889253799073
Poland,290,1962,3340.5333034186533
Portugal,235,1916,1233.6557705136756
Portugal,235,1921,1289.902816669412
Portugal,235,1924,1401.2698412698412
Portugal,235,1953,2297.9502153526946
Portugal,235,1993,11138.360104456035
Portugal,235,1999,13465.664985637017
Portugal,235,2005,14191.465057007197
Qatar,694,1972,39156.57495579807
Rumania,360,1976,3916.7674542304094
Rumania,360,1986,4214.955714450256
Russia (Soviet Union),365,1982,6535.974592016493
Russia (Soviet Union),365,2005,7268.675928248499
Rwanda,517,1993,757.958669958109
S<e3>o Tom<e9> and Principe,403,2004,1331.6238657811184
Senegal,433,1960,1444.6390453789054
Senegal,433,1989,1241.699241311118
Senegal,433,2004,1410.728285789618
Senegal,433,2006,1447.076671723655
Serbia,340,2007,7001.02077133281
Seychelles,591,1989,4898.615060749731
Sierra Leone,451,1951,684.5663198421862
Singapore,830,1914,1366.8260105591557
Singapore,830,1918,1334.476135909071
Singapore,830,1950,2218.9609627238037
Singapore,830,1986,10899.726515952872
Slovakia,317,1993,6250.925129330263
Slovenia,349,1957,3241.875434535302
Somalia,520,1972,1228.3339162082004
Somalia,520,1983,1014.5840213831318
Somalia,520,1991,1006.2679432424661
Somalia,520,1992,905.1352528108488
Somalia,520,2001,835.3474021167816
South Africa,560,1903,1613.3719097693095
South Africa,560,1941,2202.0721111969406
South Africa,560,1943,2231.610376949661
Spain,230,1954,2695.591421911313
Spain,230,2003,16553.187150690803
Sri Lanka (Ceylon),780,1910,1208.011996572408
Sri Lanka (Ceylon),780,1914,1209.7974369574206
Sri Lanka (Ceylon),780,1926,1266.366095581605
Sri Lanka (Ceylon),780,1943,1284.148665819568
Sudan,625,1980,931.46945353054
Swaziland,572,1956,803.4511655852438
Swaziland,572,2002,2700.242154743694
Swaziland,572,2006,2953.357023551174
Sweden,380,1936,4640.37497233233
Sweden,380,1965,10815.18260633449
Sweden,380,1971,12748.430849323257
Switzerland,225,1906,6591.671264839547
Switzerland,225,1909,6664.735343513256
Switzerland,225,1945,7475.09437427205
Switzerland,225,1952,9630.114226375908
Switzerland,225,1972,17774.393101509046
Syria,652,1950,2408.5022909886875
Syria,652,1971,3758.859397733397
Syria,652,1972,4543.515222238551
Syria,652,1976,5975.64304407214
Taiwan,713,1902,676.7334511252699
Taiwan,713,1972,3113.396624472574
Taiwan,713,1984,6521.196743841844
Taiwan,713,2000,16627.607357515208
Taiwan,713,2005,19367.41318629699
Tajikistan,702,2005,1332.346691398752
Tanzania/Tanganyika,510,1967,549.3637343154513
Tanzania/Tanganyika,510,1982,568.1539079417244
Thailand,800,1964,1248.6411652312538
Thailand,800,1967,1485.763873877128
Togo,461,1966,991.3861536675685
Trinidad and Tobago,52,1958,5608.673598782652
Trinidad and Tobago,52,1961,6371.120065661544
Trinidad and Tobago,52,1969,7896.756451942879
Trinidad and Tobago,52,1982,11775.510204081633
Trinidad and Tobago,52,1990,8852.589641434262
Trinidad and Tobago,52,2001,12768.61489191353
Trinidad and Tobago,52,2003,15160.225442834138
Tunisia,616,1977,2592.378101473354
Tunisia,616,2004,5215.760230115209
Uganda,500,1957,699.9527252047233
Uganda,500,1970,867.2959866359761
Uganda,500,1974,817.009230988448
Uganda,500,2004,887.6379792991468
United Arab Emirates,696,1989,13220.366088890236
United Arab Emirates,696,2001,12403.83428836281
United Kingdom,200,1940,6856.004976568655
United Kingdom,200,1951,7123.3644859813085
United Kingdom,200,1968,10409.950374904916
United Kingdom,200,1973,12025.280199252802
United Kingdom,200,1996,18044.003183377976
United States of America,2,1900,4090.7872916966658
United States of America,2,1901,4463.863188167626
United States of America,2,1902,4420.630145088023
United States of America,2,1903,4550.894374027129
United States of America,2,1904,4409.532024004364
United States of America,2,1905,4642.163891760846
United States of America,2,1906,5079.124239244491
United States of America,2,1907,5064.89042695703
United States of America,2,1908,4560.615967660435
United States of America,2,1909,5017.495987671307
United States of America,2,1910,4963.735703429022
United States of America,2,1911,5045.6839038988055
United States of America,2,1912,5200.698473402087
United States of America,2,1913,5300.729463352663
United States of America,2,1914,4799.201135621325
United States of America,2,1915,4864.192617469611
United States of America,2,1916,5458.692899847602
United States of America,2,1917,5247.736873537089
United States of America,2,1918,5658.984393757503
United States of America,2,1919,5680.406492656888
United States of America,2,1920,5552.327364077806
United States of America,2,1921,5322.73359091076
United States of America,2,1922,5539.843678722711
United States of America,2,1923,6164.1990354756335
United States of America,2,1924,6232.550673021527
United States of America,2,1925,6282.418871039868
United States of America,2,1926,6602.442213869351
United States of America,2,1927,6576.498945624341
United States of America,2,1928,6569.345446429309
United States of America,2,1929,6898.7221563254125
United States of America,2,1930,6212.7127066015455
United States of America,2,1931,5691.366596326816
United States of America,2,1932,4908.365780158806
United States of America,2,1933,4776.9154778887305
United States of America,2,1934,5113.607593441384
United States of America,2,1935,5466.837946487928
United States of America,2,1936,6203.883782376575
United States of America,2,1937,6430.12147778533
United States of America,2,1938,6126.465671847696
United States of America,2,1939,6560.752658907244
United States of America,2,1940,7009.637212844078
United States of America,2,1941,8205.683099117397
United States of America,2,1942,9741.105188128759
United States of America,2,1943,11518.171571769917
United States of America,2,1944,12333.449664236308
United States of America,2,1945,11708.647557555134
United States of America,2,1946,9196.542968860083
United States of America,2,1947,8885.994381012937
United States of America,2,1948,9064.562250769346
United States of America,2,1949,8943.744321292648
United States of America,2,1950,9561.34786006528
United States of America,2,1951,10116.24633582562
United States of America,2,1952,10315.544610385077
United States of America,2,1953,10612.608000799082
United States of America,2,1954,10359.108363083189
United States of America,2,1955,10896.854716719601
United States of America,2,1956,10914.282161950941
United States of America,2,1957,10919.986742952833
United States of America,2,1958,10630.528013174597
United States of America,2,1959,11230.16926277906
United States of America,2,1960,11328.475516269904
United States of America,2,1961,11401.734434457867
United States of America,2,1962,11904.984507178162
United States of America,2,1963,12242.340495238901
United States of America,2,1964,12772.566431634954
United States of America,2,1965,13418.701718450051
United States of America,2,1966,14133.526658526658
United States of America,2,1967,14330.030395748621
United States of America,2,1968,14862.938825944417
United States of America,2,1969,15179.408615679135
United States of America,2,1970,15029.846087821626
United States of America,2,1971,15304.298833194485
United States of America,2,1972,15943.867439112702
United States of America,2,1973,16689.34306707124
United States of America,2,1974,16491.26974477915
United States of America,2,1975,16283.63267630676
United States of America,2,1976,16975.08656867017
United States of America,2,1977,17566.502753826528
United States of America,2,1978,18372.97212300919
United States of America,2,1979,18789.393703761303
United States of America,2,1980,18577.36665413365
United States of America,2,1981,18855.55486999598
United States of America,2,1982,18325.12026308355
United States of America,2,1983,18920.156391092147
United States of America,2,1984,20122.667101821073
United States of America,2,1985,20717.322960076497
United States of America,2,1986,21236.08546335124
United States of America,2,1987,21787.69367412788
United States of America,2,1988,22499.441620233243
United States of America,2,1989,23059.278193599523
United States of America,2,1990,23200.560312401587
United States of America,2,1990,23200.560312401587
United States of America,2,1991,22832.790045888927
United States of America,2,1992,23284.981879676943
United States of America,2,1993,23640.11257957278
United States of America,2,1994,24312.78895848798
United States of America,2,1995,24637.32985625143
United States of America,2,1996,25263.10164908837
United States of America,2,1997,26074.239422588977
United States of America,2,1998,26893.450858320128
United States of America,2,1999,27869.81202767119
United States of America,2,2000,28701.934318309348
United States of America,2,2001,28726.09431927397
United States of America,2,2002,28976.93019268436
United States of America,2,2003,29458.922506871182
United States of America,2,2004,30199.800860551808
United States of America,2,2005,30841.645496424466
United States of America,2,2006,31357.539587735886
United States of America,2,2007,31654.926754922406
United States of America,2,2008,31251.266490333088
United States of America,2,2009,29898.64421649179
United States of America,2,2010,30491.34438076369
Uruguay,165,1914,2654.1291905151265
Uruguay,165,1915,2470.3049759229534
Uruguay,165,1927,3797.2636815920396
Uruguay,165,1948,4405.092592592592
Uruguay,165,1955,5351.581889019589
Uruguay,165,1970,5184.0537402002155
Uruguay,165,1977,5628.690517540813
Uruguay,165,1979,6214.8249828414555
Uruguay,165,1995,7679.497394070133
Venezuela,101,1910,885.5622576625804
Venezuela,101,1924,1630.0261661491008
Venezuela,101,1929,3426.4823993668983
Venezuela,101,1956,9123.6977308073
Venezuela,101,1959,9997.40357558051
Venezuela,101,1962,9057.915176447112
Venezuela,101,2005,8868.262444606433
"Vietnam, Democratic Republic of",816,1952,693.7597323624381
"Vietnam, Democratic Republic of",816,1970,735.026848972428
"Vietnam, Democratic Republic of",816,1972,802.0375942553729
"Vietnam, Democratic Republic of",816,1984,890.9663449396924
"Vietnam, Democratic Republic of",816,2010,3216.81192823347
Yemen (Arab Republic of Yemen),678,1964,988.8938056090541
Zambia,551,1972,1104.9007464701467
Zambia,551,1978,967.230657112565
Zimbabwe (Rhodesia),552,1981,1407.145807845585
Zimbabwe (Rhodesia),552,1997,1417.1512172835696
